0,al,Alabama
1,ak,Alaska
2,az,Arizona
3,ar,Arkansas
4,ca,California
5,co,Colorado
6,ct,Connecticut
7,de,Delaware
8,fl,Florida
9,ga,Georgia
10,hi,Hawaii
11,id,Idaho
12,il,Illinois
13,in,Indiana
14,ia,Iowa
15,ks,Kansas
16,ky,Kentucky
17,la,Louisiana
18,me,Maine
19,md,Maryland
20,ma,Massachusetts
21,mi,Michigan
22,mn,Minnesota
23,ms,Mississippi
24,mo,Missouri
25,mt,Montana
26,ne,Nebraska
27,nv,Nevada
28,nh,New_Hampshire
29,nj,New_Jersey
30,nm,New_Mexico
31,ny,New_York
32,nc,North_Carolina
33,nd,North-Dakota
34,oh,Ohio
35,ok,Oklahoma
36,or,Oregon
37,pa,Pennsylvania
38,pr,Puerto_Rico
39,ri,Rhode_Island
40,sc,South_Carolina
41,sd,South_Dakota
42,tn,Tennessee
43,tx,Texas
44,ut,Utah
45,vt,Vermont
46,va,Virginia
47,wa,Washington
48,dc,Washington_DC
49,wv,West_Virginia
50,wi,Wisconsin
51,wy,Wyoming